INFO  - 2015-04-07 19:10:10.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2015-04-07 19:10:10.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2015-04-07 19:10:10.116; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2015-04-07 19:10:10.116; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2015-04-07 19:10:10.116; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/poi-ooxml-schemas-3.9.jar' to classloader
INFO  - 2015-04-07 19:10:10.116; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2015-04-07 19:10:10.116; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2015-04-07 19:10:10.117; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2015-04-07 19:10:10.117; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2015-04-07 19:10:10.117; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2015-04-07 19:10:10.117; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/tika-xmp-1.4.jar' to classloader
INFO  - 2015-04-07 19:10:10.117; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2015-04-07 19:10:10.118; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2015-04-07 19:10:10.118; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2015-04-07 19:10:10.118; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/xmlbeans-2.3.0.jar' to classloader
INFO  - 2015-04-07 19:10:10.118; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2015-04-07 19:10:10.118; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2015-04-07 19:10:10.120; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/dist/solr-cell-4.7.2.jar' to classloader
INFO  - 2015-04-07 19:10:10.120; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2015-04-07 19:10:10.120; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2015-04-07 19:10:10.121; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2015-04-07 19:10:10.121; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2015-04-07 19:10:10.121; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2015-04-07 19:10:10.121; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/Prerna/Desktop/Prerna/NTU/Courses-Year4-Sem2/CZ4034-InfoRet/code_app/TwitterOPINE/solr-4.7.2/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
